a	and	A
aby	for	
adresa	address	
ale	but	A
američan	american	
anebo	or	
anglický	english	
angličan	englishman	
ano	yes	
armáda	army	
asi	about	
aspoň	atleast	
auto	car	A
autobus	bus	
autor	author	A
avšak	but	
ačkoliv	though	
až	until	
babička	grandmother	
balík	packet	
barva	colour	
bedna	box	
bez	without	
bledý	pale	
bluza	blouse	
blízko	at	
bohatý	affluent	
bolení	ache	
bolest	ache	
boleti	ache	
bomba	bomb	
borůvka	blueberry	
bota	shoe	A
bouda	cabin	
bouře	storm	
bouřka	storm	
brambor	potato	
bratr	brother	
bratranec	cousin	
brouček	beetle	
brzo	soon	
brzy	soon	
bráti	get	
brýle	glasses	
buditi	arouse	
budova	building	
bulharsko	bulgaria	
bydleti	dwell	
bydliti	dwell	
báseň	poem	
básník	poet	
bílý	white	
bíti	beat	
běžeti	run	
březen	march	
břicho	abdomen	
bůh	god	
cena	price	
cesta	road	
cestička	path	
chalupa	cabin	
chladný	cool	
chlapec	boy	
chléb	bread	
chutný	nice	
chytrý	clever	
chřipka	flu	
cibule	onion	
cizina	foreigncountry	
cukr	sugar	
cíl	aim	
dcera	daughter	
dcerka	daughter	
dceruška	daughter	
den	day	A
deset	ten	
devět	nine	
deštník	umbrella	
divadlo	theatre	
dlouhý	long	
dnes	today	
dneska	today	
dobrý	good	
doma	athome	
donésti	bring	
dopis	letter	
dopoledne	morning	
doproviditi	accompany	
dost	enough	A
dostati	get	
dosti	enough	
doufati	hope	
duben	april	
dva	two	
dveře	door	
dvě	two	
dáti	give	
dávati	give	
dýmka	pipe	
děd	grandfather	
dělník	hand	
děvče	girl	
dřevo	timber	
dům	house	
elektrika	streetcar	
filosofie	philosophy	
fotografie	photography	
francie	france	
fysika	physics	
garáž	garage	
halenka	blouse	
harmonika	accordion	
herec	actor	
hlad	hunger	
hladový	hungry	
hlava	head	
hluchý	deaf	
hnědý	brown	
hoch	boy	
hodina	hour	
hodiny	clock	
hoditi	throw	
hodný	good	
holandsky	dutch	
hora	mountain	
hrdina	hero	
hrdlo	throat	
hruška	pear	
hudba	music	
husa	goose	
hvězda	star	
hymna	anthem	
házeti	throw	
hřeben	comb	
inkoust	ink	
inzerát	ad	
istivý	acute	
jablko	apple	
jahoda	strawberry	
jaksi	anyway	
jazyk	tongue	
jeden	one	
jehně	lamb	
jeho	his	
jejich	their	
její	her	
játra	liver	
kasárna	barracks	
kniha	book	
knihovna	bookcase	
kolega	colleague	
komár	moon	
kost	bone	
kvalita	property	
květen	may	
květina	bloom	
labe	elbe	
labuť	swan	
led	ice	A
leden	january	
les	forest	
letadlo	aeroplane	
letiště	airport	
lev	lion	A
libra	pound	A
list	leaf	A
listopad	november	
literatura	literature	
londýn	london	
londýňan	londoner	
loď	ship	
loďka	boat	
ložnice	bedroom	
lupič	bandit	
láhev	bottle	
láska	affection	
lék	drug	
lékař	doctor	
lékárna	drugstore	
léto	summer	
líný	lazy	
lžíce	spoon	
malina	raspberry	
maminka	mother	
manžel	husband	
manželka	wife	
maso	meat	
matka	mother	
maďarsky	hungarian	
medvěd	bear	
meruňka	apricot	
mezinárodní	international	
mléko	milk	
modrý	blue	
morava	moravia	A
most	bridge	A
motorka	motorcycle	
moucha	fly	
moře	sea	
mrkev	carrot	
muž	fellow	
my	us	A
myš	mouse	
máslo	butter	
míč	ball	
mýdlo	soap	
město	city	
měsíc	month	
můj	my	
nebo	or	
neděle	sunday	
nepřítomný	absent	
než	than	
nikdo	neither	
noc	night	
noha	leg	
norsko	norway	
nos	nose	
nosič	porter	
nový	new	
nádraží	station	
námořník	sailor	
nápad	idea	
národ	nation	
národní	national	
nízko	low	
něco	anything	
němec	german	
německo	germany	
německy	german	
nůž	knife	
nůžky	scissors	
oblíbený	popular	
obraz	image	
obvyklý	accustomed	
obyčejně	ordinarily	
odpoledne	afternoon	
odra	oder	
okno	window	
oko	eye	
olej	oil	
omáčka	gravy	
on	he	A
ona	her	
ono	it	
opět	afresh	
osm	eight	
osoba	person	
otec	father	
otevřený	open	
otázka	question	
ovce	sheep	
oves	oats	
ovčák	shepherd	
papír	paper	
parno	heat	
pasažér	passenger	
patro	floor	
paříž	paris	
pekař	baker	
pekárna	bakery	
peníze	money	
pes	dog	A
pianista	pianist	
pivo	ale	
plyn	gas	
po	after	A
pod	below	A
podlaha	floor	
podzim	autumn	
pohodlný	comfortable	
pokoj	chamber	
pole	field	A
polsko	poland	
polsky	polish	
polák	pole	
polévka	soup	
pondělí	monday	
poschodí	floor	
postel	bed	
počasí	weather	
praha	prague	
prapor	banner	
prase	hog	A
profesor	professor	
prosinec	december	
proti	acrossfrom	
prst	finger	
prsten	ring	
prázdný	empty	
párek	sausage	
pátek	friday	
písek	sand	
píseň	song	
pět	five	
přes	across	
přijmouti	accept	
přátelství	friendship	
přítel	friend	
přítelkyně	friend	
rada	advice	
rakousko	austria	
restaurace	restaurant	
rodina	family	
rodiče	parents	
ruka	hand	
rus	russian	A
rusko	russia	
rusky	russian	
ryba	fish	
rybář	fisherman	
rytmus	rhythm	
rána	injury	
ráno	morning	
růže	rose	
sbohem	adieu	
schopný	able	
sedm	seven	
sestra	sister	
sestřenice	cousin	
sever	north	A
sklep	basement	
skála	rock	
sladký	gentle	
slepice	chicken	
slovo	word	
slovák	slovak	
sluha	boy	
slunce	sun	
snad	maybe	
snídaně	breakfast	
soudce	judge	
souhlasiti	accede	
soused	neighbour	A
spaní	sleep	
spolu	together	
srb	serb	
srdce	heart	
starý	old	
stroj	engine	
strom	tree	
strážník	policeman	
strýc	uncle	
studený	bleak	
stěna	wall	
střecha	roof	
středa	wednesday	
stříbrný	silver	
stůl	table	
sud	barrel	A
svédsko	sweden	
svět	world	
světlo	light	
sympatie	sympathy	
syn	son	
sám	alone	
sýr	cheese	
také	also	
tele	calf	
teplo	warmth	
teta	aunt	
teď	atpresent	
thema	theme	
theorie	theory	
tma	darkness	
tmavý	dark	
tupý	blunt	
turecký	turkish	
tužka	pencil	
tvář	face	
týden	week	
tělo	body	
tři	three	
třída	class	
ucho	ear	
uhlí	coal	
ulice	street	
umění	art	
učitel	instructor	
už	already	
vagon	carriage	
vajíčko	egg	
varšava	warsaw	
vchod	entrance	
vdova	widow	
vdovec	widower	
vejce	egg	
venkov	country	
ves	village	A
vesnice	village	
večer	evening	
vlas	hair	
vlaštovka	swallow	
voda	water	
voják	pawn	
vstup	entrance	
vychytralý	acute	
vzduch	air	
válka	war	
váza	vase	
vídeň	vienna	
víno	wine	
vítr	wind	
výběr	choice	
východ	exit	
výška	altitude	
včela	bee	
včera	yesterday	
věc	thing	
věk	age	
větev	bough	
věž	castle	
všechno	all	
všude	allabout	
vždy	always	
vždycky	always	
xylofon	xylophone	
z	from	A
zahrada	garden	
zahradník	gardener	
zdraví	health	
zdravý	healthy	
ze	from	
zelený	green	
země	earth	
zima	cold	A
zloděj	thief	
znovu	afresh	
zrcadlo	mirror	
zvírě	animal	
zvíře	animal	
záchod	toilet	
záležitost	affair	
západ	west	
září	september	
zítra	tomorrow	
únor	february	
úraz	accident	
úterý	tuesday	
účet	account	
úřad	bureau	
čaj	tea	
časem	severaltimes	
často	frequently	
čech	czech	
čechy	bohemia	
černý	black	
červen	june	
červenec	july	
červený	red	
československo	czechoslovakia	
český	czech	
čina	china	
člověk	man	
člun	boat	
čokoláda	chocolate	
čtvrtek	thursday	
čtyři	four	
čí	ofwhich	
čísti	read	
řeka	river	
řezník	butcher	
řím	rome	
šedivý	grey	
šest	six	
škola	school	
španělsky	spanish	
špatný	bad	
špenát	spinach	
špinavý	dirty	
šunka	ham	
švýcarsko	switzerland	
žena	woman	
židle	chair	
žito	rye	
život	life	
žlutý	yellow	
